Date,Open,High,Low,Close,Volume
07-05-2012,16620.43945,16944.13086,16233.75977,16292.98047,58600
14-05-2012,16318.36035,16390.33008,15809.70996,16152.75,62000
21-05-2012,16187.66016,16366.71973,15847.03027,16217.82031,53800
28-05-2012,16289.82031,16544.38086,15933.48047,15965.16016,58600
04-06-2012,15808.87988,16767.76953,15748.98047,16718.86914,59800
11-06-2012,16804.89063,16967.75977,16553.4707,16949.83008,48000
18-06-2012,17039.53906,17109.94922,16636.08984,16972.50977,53000
25-06-2012,17038.76953,17448.48047,16815.86914,17429.98047,46600
02-07-2012,17438.67969,17562.89063,17351.5,17521.11914,44400
09-07-2012,17449.92969,17631.18945,17181.16992,17213.69922,43200
16-07-2012,17241.98047,17318.92969,17038.58984,17158.43945,48800
23-07-2012,17047.73047,17047.73047,16598.48047,16839.18945,55400
30-07-2012,16919.14063,17291.99023,16919.14063,17197.92969,50400
06-08-2012,17313.05078,17726.64063,17313.05078,17557.74023,61200
13-08-2012,17551.68945,17801.39063,17522.09961,17691.08008,37600
20-08-2012,17705.14063,17972.53906,17705.14063,17783.21094,35400
27-08-2012,17769.43945,17820.07031,17337.60938,17380.75,47200
03-09-2012,17465.59961,17701.19922,17250.80078,17683.73047,50200
10-09-2012,17780.92969,18498.53906,17677.38086,18464.26953,52600
17-09-2012,18619.90039,18866.86914,18291.92969,18752.83008,53600
24-09-2012,18756.31055,18869.93945,18552.67969,18762.74023,57800
01-10-2012,18784.64063,19137.28906,18745.2793,18938.46094,67600
08-10-2012,18969.18945,18969.18945,18581.49023,18675.17969,43200
15-10-2012,18690.99023,18806.56055,18535.36914,18682.31055,36800
22-10-2012,18655.92969,18812.92969,18558.05078,18625.33984,29400
29-10-2012,18656,18793.75,18393.41992,18755.44922,41800
05-11-2012,18749.36914,18973.42969,18656.41016,18683.67969,41400
12-11-2012,18691.01953,18750.91992,18266.75977,18309.36914,34600
19-11-2012,18349.5293,18567.67969,18255.68945,18506.57031,32800
26-11-2012,18574.35938,19372.69922,18508.78906,19339.90039,36000
03-12-2012,19342.83008,19561.86914,19186.24023,19424.09961,44000
10-12-2012,19442.18945,19612.17969,19193.10938,19317.25,42800
17-12-2012,19290.91992,19520.50977,19149.0293,19242,56200
24-12-2012,19278,19504.40039,19237.25977,19444.83984,27400
31-12-2012,19422.58984,19797.43945,19406.16992,19784.08008,25800
07-01-2013,19820.56055,19856.42969,19596.38086,19663.64063,43600
14-01-2013,19689.08984,20126.55078,19689.08984,20039.03906,53400
21-01-2013,20132.83008,20163.38086,19884.19922,20103.5293,54200
28-01-2013,20129,20203.66016,19736.44922,19781.18945,49800
04-02-2013,19860.9707,19902.59961,19414.80078,19484.76953,45000
11-02-2013,19517.58984,19723.00977,19381.82031,19468.15039,39600
18-02-2013,19496.25,19742.41992,19289.69922,19317.00977,38600
25-02-2013,19365.33008,19411.17969,18793.9707,18918.51953,48600
04-03-2013,18920.90039,19706.0293,18760.41016,19683.23047,45200
11-03-2013,19679.88086,19754.66016,19179.33008,19427.56055,44600
18-03-2013,19282.63086,19378.60938,18669.19922,18735.59961,57000
25-03-2013,18894.13086,18950.2207,18568.42969,18835.76953,38800
01-04-2013,18890.81055,19060.50977,18389.28906,18450.23047,40800
08-04-2013,18455.80078,18599.14063,18173.31055,18242.56055,44000
15-04-2013,18196.08984,19058.80078,18144.2207,19016.46094,39600
22-04-2013,18989.7793,19434.84961,18989.7793,19286.7207,36800
29-04-2013,19306.66992,19792,19284.40039,19575.64063,43600
06-05-2013,19571.66016,20119.14063,19554.31055,20082.61914,36000
13-05-2013,20073.41016,20328.18945,19652.68945,20286.11914,40600
20-05-2013,20277.75977,20443.61914,19568.49023,19704.33008,56600
27-05-2013,19750.66992,20254.0293,19678.31055,19760.30078,43800
03-06-2013,19859.2207,19860.18945,19395.32031,19429.23047,32600
10-06-2013,19530.34961,19585.75,18765.5293,19177.92969,55000
17-06-2013,19249.90039,19383.60938,18615.14063,18774.24023,54800
24-06-2013,18714.06055,19432.93945,18467.16016,19395.81055,55200
01-07-2013,19352.48047,19640.26953,19147.31055,19495.82031,47000
08-07-2013,19418.98047,19991.93945,19185.91992,19958.4707,38800
15-07-2013,19926.09961,20256.59961,19649.58008,20149.84961,46800
22-07-2013,20096.71094,20351.06055,19699.75977,19748.18945,49000
29-07-2013,19714.41992,19751.0293,19078.7207,19164.01953,52500
05-08-2013,19178.06055,19306.50977,18551.34961,18789.33984,50500
12-08-2013,18898.93945,19392.56055,18559.65039,18598.17969,52600
19-08-2013,18587.38086,18587.38086,17759.58984,18519.43945,88900
26-08-2013,18602.56055,18728.18945,17448.71094,18619.7207,93600
02-09-2013,18691.83008,19293.96094,18166.16992,19270.06055,74000
09-09-2013,19448.39063,20055.5293,19444.66016,19732.75977,56000
16-09-2013,19977.38086,20739.68945,19596.15039,20263.71094,62200
23-09-2013,20060.82031,20199.81055,19658.74023,19727.26953,62400
30-09-2013,19643.89063,20052,19264.7207,19915.94922,47800
07-10-2013,19880.93945,20559.68945,19647.88086,20528.58984,55500
14-10-2013,20534.60938,20932.23047,20375.41992,20882.89063,48500
21-10-2013,20915.75977,21039.41992,20589.7207,20683.51953,51900
28-10-2013,20696.50977,21293.88086,20493.66016,21196.81055,51700
04-11-2013,21134.09961,21158.56055,20600.90039,20666.15039,45400
11-11-2013,20596.40039,20672.5293,20161.64063,20399.41992,42100
18-11-2013,20570.58984,20934.40039,20137.66992,20217.39063,49900
25-11-2013,20326.66016,20819.76953,20326.66016,20791.92969,45900
02-12-2013,20771.26953,21165.59961,20673.61914,20996.5293,55800
09-12-2013,21416.66992,21483.74023,20692.66992,20715.58008,59900
16-12-2013,20714.25977,21117.99023,20568.69922,21079.7207,46400
23-12-2013,21080.53906,21235.14063,21010.65039,21193.58008,25300
30-12-2013,21260.15039,21331.32031,20731.33008,20851.33008,33700
06-01-2014,20913.78906,20971.23047,20625.16992,20758.49023,43100
13-01-2014,20850.53906,21379.28906,20850.53906,21063.61914,48300
20-01-2014,21083.5293,21409.66016,21001.13086,21133.56055,46100
27-01-2014,20899.0293,20899.0293,20343.7793,20513.84961,44800
03-02-2014,20479.0293,20480.34961,19963.11914,20376.56055,48300
10-02-2014,20429.16016,20516.59961,20149.00977,20366.82031,43600
17-02-2014,20438.86914,20750.51953,20338.94922,20700.75,32500
24-02-2014,20695.48047,21140.50977,20637.30078,21120.11914,41900
03-03-2014,21079.26953,21960.89063,20920.98047,21919.78906,163700
10-03-2014,21819.18945,22023.98047,21573.48047,21809.80078,56200
17-03-2014,21849.65039,22040.7207,21704.66016,21753.75,87800
24-03-2014,21827.5,22363.9707,21827.5,22339.9707,47000
31-03-2014,22423.14063,22620.65039,22253.7793,22359.5,52400
07-04-2014,22355.56055,22792.49023,22197.50977,22628.96094,33600
14-04-2014,22698.08984,22737.31055,22247.39063,22628.83984,23800
21-04-2014,22644.75,22939.31055,22636.75,22688.07031,32800
28-04-2014,22717.58984,22721.35938,22284.96094,22403.89063,30600
05-05-2014,22412.80078,23048.49023,22277.03906,22994.23047,46000
12-05-2014,23031.10938,25375.63086,23008.65039,24121.74023,92700
